ID,code,site,time,date,latitude,longitude,habitat_code,habitat,altitude,exposition,slope,vegetation_cover,ailanthus_height,Ch_chamaephytes,G_geophytes,H_hemicryptophytes,P_phanerophytes,T_therophytes,BOREAL,EURI-MEDITERRANEAN,ENDEMIC,EUROPEAN,EURASIATIC,MEDITERRANEAN-ATLANTIC,MEDITERRANEAN-TURANIC,PALAEOTEMPERATE,STENO-MEDITERRANEAN,WIDE,light,temperature,continentality,humidity,reaction,nitrogen,richness,shannon,final_groups,AIL_val,AIL_cov
21,R401012,site 2,T1,23.05.2019,41.087778,16.123611,0,other,550,0,0,100,0.25,0,3.3,17.5,18.3,60.8,0,30,0.83,3.33,8.33,3.33,7.5,14.17,18.33,14.17,3.93,3.9,2.41,1.54,2.33,1.61,48,0.97,T1,2,0.1
22,R402771,site 3,T1,20.05.2019,41.072722,16.154639,0,other,535,0,0,95,0,1.4,4.8,29.3,2.7,61.9,1.36,30.61,3.4,1.36,6.8,4.08,10.2,12.24,23.81,6.12,4.96,4.54,2.87,1.78,3.11,1.8,61,0.97,T1,0,0
23,R402772,site 3,T1,20.05.2019,41.072778,16.154278,0,other,535,0,0,95,0,1.5,5.3,22.6,0.8,69.9,3.01,28.57,0.75,2.26,18.05,2.26,12.03,9.02,17.29,6.77,4.41,3.82,2.7,1.71,2.86,1.88,61,0.97,T1,0,0
24,RR401001,site 1,T2,19.05.2020,41.0915,16.121194,0,other,530,230,5,100,0.25,3.8,2.5,23.9,6.9,62.9,0,38.99,5.03,0,1.26,2.52,6.92,10.69,28.93,5.66,5.72,5.27,3.04,1.87,3.4,1.79,66,0.99,T2,2,0.1
25,RR401002,site 1,T2,19.05.2020,41.091472,16.121861,0,other,530,270,5,80,0.25,5.2,10.5,33.7,3.5,47.1,2.33,36.05,11.05,1.16,1.74,1.16,1.74,7.56,31.98,5.23,6.47,5.44,3.41,1.88,4.05,1.86,67,0.99,T2,2,0.1
26,RR401011,site 2,T2,19.05.2020,41.087778,16.123806,0,other,550,0,0,100,0.25,1.4,10.6,32.4,7.8,47.9,0,30.99,1.41,1.41,4.23,4.93,8.45,11.27,30.28,7.04,5,4.6,2.78,1.64,2.94,1.71,56,0.98,T2,2,0.1
27,RR401012,site 2,T2,19.05.2020,41.087778,16.123611,0,other,550,0,0,100,0.25,4.3,8.6,20.1,15.8,51.1,1.44,30.94,4.32,4.32,2.88,2.88,6.47,13.67,28.78,4.32,4.99,4.43,2.78,1.57,2.86,1.46,56,0.98,T2,2,0.1
28,RR402771,site 3,T2,19.05.2020,41.072722,16.154639,0,other,535,0,0,100,0.25,0,10.1,28.8,4.3,56.8,5.76,35.97,2.88,0,4.32,0,9.35,7.19,30.22,4.32,5.06,4.57,2.71,1.74,2.8,1.88,56,0.98,T2,2,0.1
29,RR402772,site 3,T2,19.05.2020,41.072778,16.154278,0,other,535,0,0,100,0.25,1.3,9.8,34.6,4.6,49.7,5.88,37.25,1.96,1.96,1.31,1.31,7.84,10.46,29.41,2.61,5.52,4.96,2.99,1.8,2.98,2.02,60,0.98,T2,2,0.1
30,T40054,site 4,0,05.05.2018,41.093139,16.093806,2,grassland,480,330,10,95,0,1.4,10.5,23.8,0,64.3,1.4,44.06,5.59,1.4,1.4,1.4,6.29,6.99,26.57,4.9,5.48,4.79,2.85,1.64,3.03,1.61,62,0.99,grassland,0,0
31,T40063,site 5,0,18.05.2018,41.112583,16.117833,2,grassland,445,30,10,95,0,3.7,11.7,25.3,0,59.3,0,37.04,12.35,2.47,1.23,1.23,3.7,4.94,35.19,1.85,6.27,5.36,3.22,1.85,3.81,1.64,62,0.97,grassland,0,0
32,T40086,site 6,0,14.05.2018,41.102944,16.099944,2,grassland,465,240,2,95,0,3.3,11.1,25.5,0.7,59.5,1.31,44.44,8.5,0,2.61,1.31,8.5,3.92,29.41,0,5.8,4.9,3,1.8,3.43,1.79,62,0.98,grassland,0,0
33,T40087,site 7,0,14.05.2018,41.106861,16.095556,2,grassland,460,2,4,90,0,4,12,27.3,0,56.7,1.33,45.33,6.67,1.33,0,0,7.33,2.67,34,1.33,5.92,5.05,2.85,1.68,3.37,1.73,56,0.98,grassland,0,0
34,T40100,site 1,0,16.05.2018,41.091167,16.12225,2,grassland,530,270,5,90,0,6.3,8.8,25.8,1.9,57.2,1.26,42.77,10.69,1.26,0,0,5.03,2.52,35.22,1.26,6.21,5.36,3.13,1.67,3.71,1.72,57,0.97,grassland,0,0
35,T40101,site 2,0,18.05.2018,41.088083,16.123583,2,grassland,550,0,0,95,0,5.5,9,30.3,0,55.2,2.76,37.93,7.59,0,2.76,1.38,10.34,2.76,32.41,2.07,5.57,4.76,2.71,1.69,3.24,1.7,56,0.98,grassland,0,0
36,T40277,site 3,0,16.05.2018,41.072639,16.154083,2,grassland,535,0,0,100,0,5.4,7.8,30.7,0,56,0,41.57,9.04,1.2,0,2.41,7.23,4.82,32.53,1.2,6.42,5.68,3.23,1.88,3.61,1.96,66,0.98,grassland,0,0
37,T70794,site 8,0,04.05.2018,41.078806,16.129083,2,grassland,540,180,5,100,0,3.3,13.7,25.5,1.3,56.2,1.31,40.52,7.19,1.31,0,1.31,5.23,5.88,34.64,2.61,5.95,5.12,3,1.72,3.23,1.76,60,0.98,grassland,0,0
38,T71051,site 9,0,04.05.2018,41.081194,16.131306,2,grassland,560,180,5,90,0,0,9.5,26.3,0,64.2,1.46,45.26,8.03,0,0,1.46,8.76,0,32.12,2.92,5.46,4.69,2.58,1.65,3.02,1.9,50,0.97,grassland,0,0
